"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14138","checkSwitchTheme","KaitenQA Regression Test","Mon Jul 21 08:03:02 GMT 2025","passed","Mon Jul 21 08:03:16 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkSwitchTheme"
"","1523","checkCreatingBoard","KaitenQA Regression Test","Mon Jul 21 08:07:25 GMT 2025","passed","Mon Jul 21 08:07:26 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingBoard"
"","15703","checkCreatingCustomFilter","KaitenQA Regression Test","Mon Jul 21 08:04:25 GMT 2025","passed","Mon Jul 21 08:04:41 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkCreatingCustomFilter"
"","15717","checkAddComment","KaitenQA Regression Test","Mon Jul 21 08:03:17 GMT 2025","passed","Mon Jul 21 08:03:32 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkAddComment"
"","9455","checkOpenCard","KaitenQA Regression Test","Mon Jul 21 08:06:13 GMT 2025","passed","Mon Jul 21 08:06:23 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkOpenCard"
"","15735","checkLoginWithWrongPin","KaitenQA Regression Test","Mon Jul 21 08:01:39 GMT 2025","passed","Mon Jul 21 08:01:54 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongPin"
"","13603","checkSearchByCardName","KaitenQA Regression Test","Mon Jul 21 08:06:49 GMT 2025","failed","Mon Jul 21 08:07:02 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkSearchByCardName"
"","594","checkAddLinkToCard","KaitenQA Regression Test","Mon Jul 21 08:07:22 GMT 2025","passed","Mon Jul 21 08:07:23 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddLinkToCard"
"","2257","checkAddCardChecklist","KaitenQA Regression Test","Mon Jul 21 08:07:17 GMT 2025","passed","Mon Jul 21 08:07:19 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCardChecklist"
"","15316","checkCloseCard","KaitenQA Regression Test","Mon Jul 21 08:03:56 GMT 2025","passed","Mon Jul 21 08:04:11 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkCloseCard"
